Part,Manufacturer,Part Number,Quantity,Price ($),Footprint (mm²),Description
Coutx,TDK,C1005X5R1V474K050BC,1,0.02442,3,Cap: 470 nF  Total Derated Cap: 41 nF  VDC: 35 V  ESR: 18.79 mΩ  Package: 0402  
Cboot,AVX,08053C104JAZ2A,1,0.07,6.75,Cap: 100 nF  Total Derated Cap: 100 nF  VDC: 25 V  ESR: 0 Ω  Package: 0805  
L1,Coilcraft,MSS1210-333MEB,1,0.81,204.49,L: 33 µH  DCR: 33 mΩ  IDC: 5.9 A  
Cin,Panasonic,100SXV15M,1,1.95,106.09,Cap: 15 µF  Total Derated Cap: 15 µF  VDC: 100 V  ESR: 40 mΩ  Package: 8x11.9  
Renable,Vishay-Dale,CRCW04021M00FKED,1,0.01,3,Resistance: 1 MΩ  Tolerance: 1.0%  Power: 63 mW  
Ruv1,Vishay-Dale,CRCW040264K9FKED,1,0.01,3,Resistance: 64.9 kΩ  Tolerance: 1.0%  Power: 63 mW  
Cramp,Samsung Electro-Mechanics,CL05C681JB5NNNC,1,0.01,3,Cap: 680 pF  Total Derated Cap: 680 pF  VDC: 50 V  ESR: 0 Ω  Package: 0402  
Cinx,TDK,C2012X7R2A104K125AA,1,0.03,6.75,Cap: 100 nF  Total Derated Cap: 100 nF  VDC: 100 V  ESR: 20.73 mΩ  Package: 0805  
Rramp,Yageo,RC0201FR-07105KL,1,0.01,2.08,Resistance: 105 kΩ  Tolerance: 1.0%  Power: 50 mW  
Rt,Yageo,RC0201FR-0718K7L,1,0.01,2.08,Resistance: 18.7 kΩ  Tolerance: 1.0%  Power: 50 mW  
Cvcc,Taiyo Yuden,MSASU21GSB7105KTNA01,1,0.03875,6.75,Cap: 1 µF  Total Derated Cap: 1 µF  VDC: 50 V  ESR: 34.52 mΩ  Package: 0805  
M1,Texas Instruments,CSD19502Q5B,1,0.74,9,VdsMax: 80 V  IdsMax: 100 Amps  
Rcomp,Yageo,RC0201FR-0712K1L,1,0.01,2.08,Resistance: 12.1 kΩ  Tolerance: 1.0%  Power: 50 mW  
Ccomp,Samsung Electro-Mechanics,CL05C821JB5NNNC,1,0.01,3,Cap: 820 pF  Total Derated Cap: 820 pF  VDC: 50 V  ESR: 0 Ω  Package: 0402  
Cout,Panasonic,EEHZA1H220P,2,0.4988,79.98,Cap: 22 µF  Total Derated Cap: 44 µF  VDC: 50 V  ESR: 80 mΩ  Package: 6.3x5.8  
U1,Texas Instruments,LM5118MH/NOPB,1,3.178,71.4,
Ccomp2,Kemet,C0805C473J3GACTU,1,0.21,6.75,Cap: 47 nF  Total Derated Cap: 47 nF  VDC: 25 V  ESR: 0 Ω  Package: 0805  
Rsense,Bourns,CRA2512-FZ-R025ELF,1,0.13,43.16,Resistance: 25 mΩ  Tolerance: 1.0%  Power: 3 W  
Rfbb,Vishay-Dale,CRCW04021K00FKED,1,0.01,3,Resistance: 1 kΩ  Tolerance: 1.0%  Power: 63 mW  
M2,Texas Instruments,CSD19502Q5B,1,0.74,9,VdsMax: 80 V  IdsMax: 100 Amps  
Css,TDK,C2012C0G1H223K125AA,1,0.08,6.75,Cap: 22 nF  Total Derated Cap: 22 nF  VDC: 50 V  ESR: 0 Ω  Package: 0805  
Coutx2,TDK,C1005X5R1V474K050BC,1,0.02442,3,Cap: 470 nF  Total Derated Cap: 41 nF  VDC: 35 V  ESR: 18.79 mΩ  Package: 0402  
Ruv2,Yageo,RC0201FR-0710KL,1,0.01,2.08,Resistance: 10 kΩ  Tolerance: 1.0%  Power: 50 mW  
Rfbt,Yageo,RC0201FR-0718K7L,1,0.01,2.08,Resistance: 18.7 kΩ  Tolerance: 1.0%  Power: 50 mW  
D1,Micro Commercial Components,SK310A-TP,1,0.11,37.34,Type: Schottky  VRRM: 100 V  Io: 3 A  
D2,SMC Diode Solutions,SBRD10200TR,1,0.18,101.71,Type: Schottky  VRRM: 200 V  Io: 10 A  
