Designator,Footprint,Quantity,Value,Digykey Part #,Mouser Part#,Mfr Part#
C1,0603,1,4.7uF,1276-1044-6-ND,,CL10A475KP8NNNC
"C10, C11, C12, C15, C16, C17, C18, C22, C23, C27, C30, C32, C33, C34",0603,14,0.1uF,1276-6807-2-ND,,CL10B104KC8NNNC
"C19, C26, C36",0603,3,10uF,1276-1869-2-ND,,CL10A106MA8NRNC
"C2, C4, C6, C7, C8, C9",0603,6,100nF,1276-1869-2-ND,,CL10A106MA8NRNC
"C20, C21",0603,2,1nF,1276-CL10B102KC8NNNDDKR-ND,,CL10B102KC8NNND
"C24, C25",0603,2,10pF,1276-6588-1-ND,,CL10C100JC81PNC
"C28, C29, C31, C35",0603,4,22uF,1276-1023-6-ND,,CL10C220JB8NNNC
"C3, C5",0603,2,2.2uF,1276-1085-2-ND,,CL10A225KP8NNNC
"D3, D4, D5",0805,3,LED,160-1426-2-ND,,LTST-C171KGKT
D6,SMCJ60A,1,SMCJ60A,SMCJ60ABTR-ND,,SMCJ60A
D7,SMAJ100CA_13_F,1,SMAJ4764A-TP,SMAJ4764A-TPMSTR-ND,,SMAJ4764A-TP
D8,D_SMA,1,1N4001,5272-1N4001WTR-ND,,1N4001W
F1,1206,1,Fuse,F8130TR-ND,576-1206L010/60WR ,1206L010/60WR 
"J1, J2",0826-1X1T-GJ-F,2,0826-1X1T-GJ-F,5923-0826-1X1T-GJ-F-ND,,0826-1X1T-GJ-F
J3,PinSocket_1x05_P2.54mm_Vertical,1,Conn_01x05_Socket,,,no part
J9,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,2073-USB4085-GF-ATR-ND,,USB4085-GF-A
Q1,CSD19538Q3AT,1,CSD19538Q3AT,296-44352-2-ND,,CSD19538Q3A
R10,0603,1,47Ohm,1712-TLMQ1JER047FTDTR-ND,,TLMQ1JER047FTD
R11,0603,1,22.1Ohm,541-RCS060322R1FKEATR-ND,,RCS060322R1FKEA
"R12, R13, R14, R15, R17, R18, R19, R20",0603,8,49.9 Ohm,541-2784-2-ND,,RCS060349R9FKEA
R16,0603,1,11.8kOhm,541-RCS060311K8FKEATR-ND,,RCS060311K8FKEA
"R21, R22, R31, R34, R47, R48, R49, R50",0603,8,1kOhm,541-RCP0603W1K00FEATR-ND,,RCP0603W1K00FEA
"R23, R32, R38, R39, R40, R41",0603,6,10kOhm,541-2795-2-ND,,RCS060310K0FKEA
"R24, R25, R26, R27, R28, R29, R37",0603,7,22 Ohm,541-10442-2-ND,,RCS060322R0FKEA
"R3, R4, R5",0603,3,270 Ohm,541-10445-2-ND,,RCS0603270RFKEA
"R35, R36, R42",0603,3,4.7kOhm,2019-SG73P1JTTD4701FTR-ND,,SG73P1JTTD4701F
"R43, R44, R45, R46",0603,4,220 Ohm,2019-SG73P1JTTD2200FTR-ND,,SG73P1JTTD2200F
"R51, R52",0603,2,5.1kOhm,541-10481-2-ND,,RCS06035K10FKEA
"R6, R7, R8, R9",0603,4,1Ohm,2019-SG73P1JTTD1R00FTR-ND,,SG73P1JTTD1R00F
"TP1, TP2, TP3, TP4",TestPoint_Pad_D2.5mm,4,TestPoint,,,no part
U1,LQFP-100_14x14mm_P0.5mm,1,STM32H742VGTx,497-STM32H742VGT6-ND,511-STM32H742VGT6,STM32H742VGT6
U2,KSZ8863RLLI,1,KSZ8863RLLI,576-3752-ND,998-KSZ8863RLLI,KSZ8863RLLI
U3,TPS23861PWR,1,TPS23861PWR,296-TPS23861PWRTR-ND,595-TPS23861PWR,TPS23861PWR
Y1,Crystal_SMD_5032-4Pin_5.0x3.2mm,1,25MHz,XC2698TR-ND,520-250-10-30B-CKMT,ECS-250-10-30B-CKM-TR
