Designator,Mid X,Mid Y,Rotation,Layer
C1,189.39,-60.18,90.0,bottom
C10,210.1,-85.3244,90.0,top
C11,219.925,-85.5994,270.0,top
C12,235.25,-97.5494,270.0,top
C15,224.35,-72.233347,0.0,bottom
C16,222.575,-74.633347,180.0,bottom
C17,218.589998,-62.9666,90.0,top
C18,224.565,-69.95,0.0,top
C19,231.517721,-66.800008,0.0,top
C2,192.29,-65.89,270.0,top
C20,249.21,-66.29,180.0,top
C21,249.23,-87.37,180.0,top
C22,210.575,-62.783347,90.0,bottom
C23,210.708803,-74.834484,90.0,bottom
C24,182.2,-67.365,270.0,top
C25,190.05,-66.81,270.0,top
C26,237.14,-87.62,0.0,top
C27,217.273518,-68.483347,0.0,bottom
C28,214.1,-74.833347,90.0,bottom
C29,217.3,-73.183347,180.0,bottom
C3,183.32,-44.98,270.0,top
C30,217.279968,-71.569531,180.0,bottom
C31,209.025,-62.783347,90.0,bottom
C32,212.40492,-74.830481,270.0,bottom
C33,205.9,-70.333347,90.0,top
C34,204.358643,-70.328247,90.0,top
C35,202.820263,-70.320296,90.0,top
C36,215.25,-76.533347,90.0,top
C4,197.13,-62.82,0.0,top
C5,198.73,-50.59,180.0,top
C6,197.13,-48.32,0.0,top
C7,181.08,-46.76,90.0,top
C8,187.85,-60.18,90.0,bottom
C9,179.41,-62.85,180.0,top
D3,207.34,-55.55,180.0,top
D4,207.355,-51.44,180.0,top
D5,207.34,-53.49,180.0,top
D6,230.7,-94.4347,270.0,top
D7,225.15,-95.9566,90.0,top
D8,219.625,-77.758347,90.0,top
F1,225.2,-101.9744,180.0,top
J1,240.691473,-56.958347,270.0,top
J2,240.693425,-78.088,270.0,top
J3,191.63,-42.55,270.0,top
Q1,220.448,-100.9994,270.0,top
R10,219.75,-97.2494,90.0,top
R11,218.175,-97.2744,90.0,top
R12,226.625,-74.558347,90.0,bottom
R13,225.075,-74.558347,90.0,bottom
R14,222.6,-77.858347,180.0,bottom
R15,222.575,-76.233347,180.0,bottom
R16,217.273518,-70.033347,0.0,bottom
R17,218.5924,-66.0908,90.0,top
R18,216.9414,-64.9478,90.0,top
R19,222.266682,-69.2018,90.0,top
R20,220.7006,-69.205,90.0,top
R21,211.925,-68.658347,90.0,bottom
R22,213.55,-68.658347,270.0,bottom
R23,216.925,-76.533347,270.0,top
R24,204.525,-68.033347,0.0,top
R25,204.525,-66.483347,180.0,top
R26,205.525,-64.883347,0.0,top
R27,193.85,-65.89,90.0,top
R28,214.05,-62.183347,270.0,top
R29,199.14,-57.09,180.0,top
R3,203.42,-55.01,0.0,top
R31,205.76,-73.66,90.0,top
R32,209.55,-88.7994,180.0,top
R34,210.65,-77.71,180.0,top
R35,203.675,-73.433347,90.0,bottom
R36,207.9,-74.858347,90.0,bottom
R37,199.13,-58.62,180.0,top
R38,205.325,-64.883347,180.0,bottom
R39,205.325,-66.458347,180.0,bottom
R4,203.425,-51.93,0.0,top
R40,205.325,-68.033347,180.0,bottom
R41,208.55,-65.908347,180.0,bottom
R42,210.0,-69.858347,90.0,bottom
R43,230.725,-73.433347,90.0,bottom
R44,226.13,-83.93,90.0,top
R45,226.2,-53.4,270.0,top
R46,228.475,-66.802,0.0,top
R47,226.13,-61.6,90.0,top
R48,226.17,-50.32,90.0,top
R49,228.480439,-68.333114,0.0,top
R5,203.43,-53.48,0.0,top
R50,226.16,-80.71,270.0,top
R6,215.8,-101.9494,180.0,top
R7,215.8,-100.4244,180.0,top
R8,215.8,-98.8994,180.0,top
R9,215.8,-97.3744,180.0,top
TP1,240.59,-40.15,90.0,top
TP2,245.14,-40.15,90.0,top
TP3,223.83,-88.76,90.0,top
TP4,221.25,-93.53,0.0,top
U1,188.3,-55.59,0.0,top
U2,212.2959,-69.783347,180.0,top
U3,215.1,-90.5994,0.0,top
Y1,186.14,-67.1425,180.0,top
